"MEASURE","Measure","AGE","Age","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Births","A15","15 - 19","0","Australia","A","Annual","1975","1975",24215,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1976","1976",21713,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1977","1977",20273,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1978","1978",19115,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1979","1979",18316,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1980","1980",17693,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1981","1981",17912,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1982","1982",17316,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1983","1983",16653,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1984","1984",14628,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1985","1985",14556,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1986","1986",14326,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1987","1987",13984,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1988","1988",13961,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1989","1989",14259,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1990","1990",15107,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1991","1991",14717,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1992","1992",14154,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1993","1993",13175,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1994","1994",12853,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1995","1995",12631,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1996","1996",12509,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1997","1997",12309,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1998","1998",11849,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","1999","1999",11751,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2000","2000",11474,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2001","2001",11704,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2002","2002",11505,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2003","2003",10811,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2004","2004",10857,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2005","2005",11151,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2006","2006",11005,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2007","2007",11835,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2008","2008",12932,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2009","2009",12702,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2010","2010",11865,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2011","2011",11344,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2012","2012",11420,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2013","2013",10407,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2014","2014",9204,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2015","2015",8574,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1975","1975",604248,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1976","1976",617078,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1977","1977",630739,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1978","1978",638674,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1979","1979",643051,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1980","1980",641032,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1981","1981",636266,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1982","1982",630888,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1983","1983",626368,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1984","1984",629553,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1985","1985",637729,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1986","1986",658671,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1987","1987",678507,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1988","1988",689280,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1989","1989",691024,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1990","1990",684977,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1991","1991",665301,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1992","1992",644102,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1993","1993",629060,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1994","1994",619931,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1995","1995",615454,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1996","1996",620152,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","1997","1997",619415,,
